NUTS,DISTRICT_CODE,SUB_DISTRICT_CODE,REF_YEAR,REF_DATE,SEX,AGE5,nationality_group,population_count
AT13,90100,90100,2021,2021-01-01,1,1,TCN,24
AT13,90100,90100,2022,2022-01-01,1,1,TCN,17
AT13,90100,90100,2023,2023-01-01,1,1,TCN,15
AT13,90100,90100,2024,2024-01-01,1,1,TCN,20
AT13,90100,90100,2025,2025-01-01,1,1,TCN,9
AT13,90100,90100,2002,2002-01-01,1,2,AUT,246
AT13,90100,90100,2003,2003-01-01,1,2,AUT,241
AT13,90100,90100,2004,2004-01-01,1,2,AUT,239
AT13,90100,90100,2005,2005-01-01,1,2,AUT,228
AT13,90100,90100,2006,2006-01-01,1,2,AUT,219
AT13,90100,90100,2007,2007-01-01,1,2,AUT,228
AT13,90100,90100,2008,2008-01-01,1,2,AUT,216
AT13,90100,90100,2009,2009-01-01,1,2,AUT,229
AT13,90100,90100,2010,2010-01-01,1,2,AUT,224
AT13,90100,90100,2011,2011-01-01,1,2,AUT,209
AT13,90100,90100,2012,2012-01-01,1,2,AUT,188
AT13,90100,90100,2013,2013-01-01,1,2,AUT,196
AT13,90100,90100,2014,2014-01-01,1,2,AUT,190
AT13,90100,90100,2015,2015-01-01,1,2,AUT,200
AT13,90100,90100,2016,2016-01-01,1,2,AUT,197
AT13,90100,90100,2017,2017-01-01,1,2,AUT,195
AT13,90100,90100,2018,2018-01-01,1,2,AUT,201
AT13,90100,90100,2019,2019-01-01,1,2,AUT,213
AT13,90100,90100,2020,2020-01-01,1,2,AUT,229
AT13,90100,90100,2021,2021-01-01,1,2,AUT,209
AT13,90100,90100,2022,2022-01-01,1,2,AUT,196
AT13,90100,90100,2023,2023-01-01,1,2,AUT,197
AT13,90100,90100,2024,2024-01-01,1,2,AUT,192
AT13,90100,90100,2025,2025-01-01,1,2,AUT,176
AT13,90100,90100,2002,2002-01-01,1,2,EEA,12
AT13,90100,90100,2003,2003-01-01,1,2,EEA,17
AT13,90100,90100,2004,2004-01-01,1,2,EEA,20
AT13,90100,90100,2005,2005-01-01,1,2,EEA,24
AT13,90100,90100,2006,2006-01-01,1,2,EEA,20
AT13,90100,90100,2007,2007-01-01,1,2,EEA,21
AT13,90100,90100,2008,2008-01-01,1,2,EEA,21
AT13,90100,90100,2009,2009-01-01,1,2,EEA,22
AT13,90100,90100,2010,2010-01-01,1,2,EEA,23
AT13,90100,90100,2011,2011-01-01,1,2,EEA,22
AT13,90100,90100,2012,2012-01-01,1,2,EEA,32
AT13,90100,90100,2013,2013-01-01,1,2,EEA,29
AT13,90100,90100,2014,2014-01-01,1,2,EEA,26
AT13,90100,90100,2015,2015-01-01,1,2,EEA,27
AT13,90100,90100,2016,2016-01-01,1,2,EEA,21
AT13,90100,90100,2017,2017-01-01,1,2,EEA,26
AT13,90100,90100,2018,2018-01-01,1,2,EEA,29
AT13,90100,90100,2019,2019-01-01,1,2,EEA,27
AT13,90100,90100,2020,2020-01-01,1,2,EEA,32
AT13,90100,90100,2021,2021-01-01,1,2,EEA,34
AT13,90100,90100,2022,2022-01-01,1,2,EEA,28
AT13,90100,90100,2023,2023-01-01,1,2,EEA,30
AT13,90100,90100,2024,2024-01-01,1,2,EEA,31
AT13,90100,90100,2025,2025-01-01,1,2,EEA,40
AT13,90100,90100,2002,2002-01-01,1,2,REU,19
AT13,90100,90100,2003,2003-01-01,1,2,REU,19
AT13,90100,90100,2004,2004-01-01,1,2,REU,12
AT13,90100,90100,2005,2005-01-01,1,2,REU,11
AT13,90100,90100,2006,2006-01-01,1,2,REU,9
AT13,90100,90100,2007,2007-01-01,1,2,REU,7
AT13,90100,90100,2008,2008-01-01,1,2,REU,6
AT13,90100,90100,2009,2009-01-01,1,2,REU,5
AT13,90100,90100,2010,2010-01-01,1,2,REU,7
AT13,90100,90100,2011,2011-01-01,1,2,REU,11
AT13,90100,90100,2012,2012-01-01,1,2,REU,17
AT13,90100,90100,2013,2013-01-01,1,2,REU,17
AT13,90100,90100,2014,2014-01-01,1,2,REU,19
AT13,90100,90100,2015,2015-01-01,1,2,REU,32
AT13,90100,90100,2016,2016-01-01,1,2,REU,31
AT13,90100,90100,2017,2017-01-01,1,2,REU,22
AT13,90100,90100,2018,2018-01-01,1,2,REU,27
AT13,90100,90100,2019,2019-01-01,1,2,REU,26
AT13,90100,90100,2020,2020-01-01,1,2,REU,24
AT13,90100,90100,2021,2021-01-01,1,2,REU,22
AT13,90100,90100,2022,2022-01-01,1,2,REU,15
AT13,90100,90100,2023,2023-01-01,1,2,REU,40
AT13,90100,90100,2024,2024-01-01,1,2,REU,37
AT13,90100,90100,2025,2025-01-01,1,2,REU,36
AT13,90100,90100,2002,2002-01-01,1,2,TCN,6
AT13,90100,90100,2003,2003-01-01,1,2,TCN,7
AT13,90100,90100,2004,2004-01-01,1,2,TCN,8
